imu9250 monitor started
time, gx, gy, gz, ax, ay, az, mx, my, mz, comp, temp
2025,-2.104,0.727,0.123,0.006,0.010,1.014,35.851,-16.957,10.148,205.314,22.90921799525754
2126,-2.176,0.714,0.161,0.006,0.010,1.017,36.147,-16.954,10.127,205.128,22.984438522961955
2227,-2.225,0.706,0.088,0.006,0.010,1.021,36.115,-17.102,10.081,205.340,23.035030376281327
2328,-2.286,0.633,0.024,0.005,0.010,1.023,35.939,-17.130,10.134,205.485,23.04675015240434
2429,-2.268,0.667,0.047,0.006,0.010,1.026,36.128,-17.003,10.026,205.203,23.13280252405604
2530,-2.250,0.666,0.056,0.006,0.010,1.027,36.280,-16.901,9.940,204.979,23.134552439468273
2632,-2.267,0.658,0.051,0.007,0.010,1.027,36.401,-16.819,9.872,204.800,23.13595237179806
2733,-2.294,0.671,-0.002,0.006,0.010,1.027,36.438,-16.994,9.996,205.004,23.15624145535021
2834,-2.291,0.664,-0.035,0.006,0.011,1.029,36.467,-16.774,10.276,204.701,23.17247272219193
2935,-2.300,0.703,0.021,0.006,0.011,1.030,36.491,-16.778,10.080,204.692,23.223796011041948
3036,-2.307,0.696,0.015,0.006,0.011,1.031,36.480,-16.931,10.133,204.897,23.207347229057
3137,-2.233,0.653,0.094,0.007,0.010,1.032,36.411,-16.753,10.116,204.708,23.213357341157362
3238,-2.212,0.644,0.141,0.007,0.010,1.033,36.266,-16.761,10.252,204.805,23.189411724305167
3339,-2.234,0.654,0.111,0.007,0.010,1.034,36.150,-16.768,10.361,204.884,23.208593506200057
3441,-2.213,0.700,0.133,0.007,0.011,1.034,36.147,-16.923,10.597,205.087,23.233523500560132
3543,-2.175,0.690,0.172,0.008,0.011,1.033,36.147,-16.923,10.597,205.087,23.215129220671546
3644,-2.175,0.690,0.172,0.008,0.011,1.033,36.174,-17.077,10.457,205.270,23.215129220671546
3745,-2.184,0.683,0.156,0.008,0.011,1.032,36.167,-17.110,10.315,205.318,23.257921209825643
3846,-2.218,0.673,0.068,0.008,0.010,1.033,36.280,-17.077,10.381,205.206,23.253816525772276
3947,-2.210,0.706,0.117,0.008,0.011,1.032,36.131,-17.050,10.374,205.262,23.269701916217905
4048,-2.232,0.696,0.138,0.008,0.012,1.034,36.072,-17.089,10.488,205.348,23.263241090886087
4150,-2.242,0.702,0.130,0.008,0.012,1.036,35.965,-17.179,10.520,205.532,23.277241568308956
4251,-2.202,0.710,0.089,0.008,0.012,1.035,35.879,-17.252,10.545,205.680,23.27885738140309
4352,-2.233,0.676,0.077,0.008,0.012,1.036,35.960,-17.160,10.415,205.511,23.270565463034234
4453,-2.221,0.675,0.068,0.008,0.012,1.036,36.145,-17.027,10.251,205.224,23.244762790650828
4554,-2.252,0.656,0.015,0.008,0.011,1.036,35.993,-16.920,10.120,205.178,23.2241206527441
4655,-2.216,0.688,0.006,0.008,0.010,1.035,35.962,-16.865,10.345,205.125,23.245945217795366
4756,-2.174,0.688,0.078,0.007,0.010,1.034,35.727,-16.910,10.136,205.330,23.225066594459733
4858,-2.164,0.645,0.120,0.007,0.010,1.036,35.868,-16.797,10.178,205.094,23.22753283347955
4959,-2.180,0.638,0.133,0.007,0.010,1.036,36.012,-16.976,10.061,205.240,23.2295058246954
5060,-2.238,0.665,0.108,0.008,0.010,1.036,36.126,-17.119,9.968,205.355,23.231084217668084
5161,-2.299,0.699,0.085,0.007,0.010,1.036,36.068,-16.844,10.104,205.033,23.24193150089039
5263,-2.318,0.660,0.051,0.007,0.010,1.036,36.068,-16.844,10.104,205.033,23.221855620935752
5364,-2.318,0.660,0.051,0.007,0.010,1.036,36.321,-17.104,10.032,205.216,23.221855620935752
5465,-2.245,0.666,0.070,0.007,0.010,1.036,36.284,-17.012,10.155,205.119,23.244133192348688
5567,-2.240,0.651,0.109,0.007,0.010,1.037,36.284,-17.088,10.163,205.218,23.261955249479037
5668,-2.248,0.662,0.136,0.007,0.011,1.035,36.255,-16.999,10.260,205.121,23.237874619806668
5769,-2.229,0.671,0.147,0.007,0.011,1.035,36.291,-16.748,10.397,204.773,23.218610116068774
5870,-2.224,0.699,0.131,0.006,0.011,1.035,36.470,-16.877,10.297,204.833,23.2415367884551
5972,-2.211,0.705,0.184,0.006,0.012,1.035,36.613,-16.980,10.216,204.881,23.250293557520003
6073,-2.250,0.693,0.141,0.007,0.011,1.036,36.547,-16.943,10.212,204.872,23.286052679304408
6174,-2.256,0.673,0.127,0.006,0.010,1.036,36.585,-16.643,10.059,204.462,23.27632170135529
6275,-2.278,0.665,0.124,0.006,0.011,1.036,36.615,-16.703,9.997,204.522,23.306875194372637
6376,-2.268,0.712,0.124,0.007,0.011,1.035,36.579,-16.811,9.946,204.683,23.302564282254032
6478,-2.263,0.696,0.113,0.007,0.011,1.036,36.310,-16.717,9.786,204.722,23.28953098371499
6579,-2.317,0.664,0.112,0.008,0.011,1.035,36.485,-16.853,9.688,204.792,23.25035063835127
6680,-2.317,0.707,0.097,0.007,0.010,1.035,36.685,-16.781,9.970,204.581,23.266929206281098
6781,-2.303,0.669,0.136,0.008,0.011,1.036,36.845,-16.723,10.195,204.412,23.32811490484577
6883,-2.256,0.656,0.125,0.007,0.011,1.036,36.703,-16.467,10.105,204.164,23.290802344100054
6984,-2.256,0.656,0.125,0.007,0.011,1.036,36.703,-16.467,10.105,204.164,23.290802344100054
7085,-2.236,0.612,0.091,0.007,0.011,1.036,36.739,-16.353,10.003,203.994,23.318459708568447
7186,-2.206,0.604,0.080,0.007,0.011,1.037,36.679,-16.771,10.072,204.571,23.31183189361068
7287,-2.204,0.665,0.109,0.007,0.011,1.035,36.690,-16.745,10.307,204.532,23.306529641644467
7388,-2.184,0.657,0.120,0.007,0.011,1.035,36.879,-16.965,10.374,204.703,23.292703271227335
7490,-2.211,0.686,0.119,0.006,0.011,1.034,36.910,-17.200,10.309,204.986,23.300811312581953
7591,-2.257,0.716,0.086,0.006,0.011,1.034,36.935,-17.389,10.256,205.211,23.307297745665647
7692,-2.270,0.651,0.080,0.005,0.011,1.034,36.805,-17.270,10.244,205.137,23.302902323288443
7793,-2.274,0.623,0.116,0.006,0.011,1.034,36.731,-17.084,10.204,204.944,23.299385985386678
7894,-2.278,0.616,0.117,0.006,0.011,1.035,36.552,-16.996,10.293,204.938,23.286988346221104
7995,-2.280,0.642,0.115,0.006,0.011,1.034,36.529,-16.986,10.303,204.938,23.31540851026529
8097,-2.248,0.622,0.100,0.006,0.012,1.035,36.600,-17.007,10.342,204.923,23.299806366123995
8198,-2.290,0.638,0.095,0.006,0.012,1.034,36.567,-16.874,10.283,204.772,23.306493788499278
8299,-2.314,0.610,0.106,0.007,0.012,1.035,36.571,-16.918,10.205,204.826,23.273505451022864
8400,-2.286,0.614,0.061,0.007,0.012,1.035,36.573,-16.953,10.143,204.869,23.266283918730053
8502,-2.298,0.630,0.055,0.007,0.012,1.034,36.456,-16.981,10.154,204.976,23.260506692895806
8603,-2.285,0.613,0.038,0.007,0.012,1.034,36.482,-17.363,9.982,205.452,23.27505404991673
8704,-2.285,0.613,0.038,0.007,0.012,1.034,36.482,-17.363,9.982,205.452,23.27505404991673
8805,-2.242,0.617,0.019,0.007,0.012,1.032,36.592,-17.339,9.935,205.354,23.277107366689307
8906,-2.246,0.583,0.019,0.007,0.011,1.032,36.411,-17.410,9.747,205.555,23.249996313574886
9007,-2.246,0.529,0.024,0.007,0.011,1.031,36.356,-17.017,9.867,205.082,23.24747660877167
9108,-2.241,0.544,-0.016,0.006,0.011,1.032,36.252,-17.122,10.023,205.282,23.226291707240776
9210,-2.244,0.585,0.004,0.007,0.011,1.033,36.258,-16.996,9.997,205.115,23.266851199081025
9312,-2.262,0.642,0.032,0.006,0.010,1.033,36.264,-16.896,9.977,204.981,23.26096051717658
9413,-2.260,0.643,0.069,0.006,0.010,1.033,36.148,-17.115,10.021,205.336,23.29458624702967
9514,-2.258,0.659,0.059,0.006,0.010,1.032,36.176,-16.991,10.116,205.158,23.29273312437966
9615,-2.249,0.692,0.110,0.006,0.010,1.032,36.138,-17.011,10.132,205.208,23.348758039324615
9716,-2.262,0.677,0.094,0.006,0.009,1.033,36.197,-16.998,10.235,205.154,23.345655127059775
9817,-2.230,0.653,0.113,0.006,0.010,1.034,36.215,-16.717,10.227,204.778,23.30483452187126
9918,-2.242,0.672,0.144,0.007,0.010,1.032,36.319,-16.822,10.131,204.852,23.272178037720447
10020,-2.309,0.663,0.143,0.007,0.010,1.033,36.312,-16.636,10.024,204.615,23.284391125776445
10121,-2.286,0.662,0.139,0.008,0.010,1.035,36.307,-16.488,9.938,204.424,23.28457702737708
10222,-2.269,0.670,0.138,0.008,0.010,1.035,36.182,-16.549,10.110,204.578,23.294310317501747
10323,-2.272,0.682,0.120,0.008,0.010,1.034,35.903,-16.538,10.307,204.732,23.30209694960148
10425,-2.272,0.682,0.120,0.008,0.010,1.034,35.903,-16.538,10.307,204.732,23.30209694960148
10526,-2.237,0.727,0.084,0.008,0.011,1.036,36.099,-16.709,10.225,204.837,23.33707996181375
10627,-2.202,0.699,0.084,0.008,0.012,1.037,35.987,-16.816,10.189,205.045,23.336312665051082
10728,-2.175,0.741,0.094,0.007,0.012,1.035,36.046,-16.871,10.130,205.081,23.335698827640947
10829,-2.166,0.756,0.076,0.007,0.011,1.034,36.034,-16.915,10.023,205.147,23.354376895401163
10931,-2.163,0.782,0.031,0.007,0.011,1.035,36.024,-16.831,10.238,205.043,23.330981074232692
11032,-2.186,0.738,0.031,0.008,0.011,1.035,36.017,-16.763,10.409,204.959,23.312264417297918
11133,-2.199,0.743,0.030,0.007,0.011,1.032,36.040,-16.679,10.457,204.835,23.268537385217613
11234,-2.300,0.720,0.079,0.006,0.010,1.029,36.029,-16.702,10.345,204.871,23.23355575955337
11336,-2.320,0.645,0.049,0.007,0.009,1.031,36.081,-16.540,10.315,204.628,23.2726624409311
11437,-2.288,0.638,0.048,0.007,0.007,1.034,36.091,-16.441,10.261,204.491,23.275194079500803
11538,-2.285,0.644,0.049,0.007,0.007,1.035,36.190,-16.571,10.188,204.603,23.267634821512406
11639,-2.324,0.601,0.055,0.007,0.005,1.039,36.269,-16.496,10.130,204.457,23.28075655281001
11740,-2.284,0.644,0.065,0.008,0.005,1.042,36.332,-16.435,10.083,204.340,23.23374652478313
11842,-2.283,0.625,0.064,0.009,0.005,1.046,36.263,-16.327,10.165,204.239,23.253645915426585
11943,-2.274,0.689,0.032,0.008,0.005,1.047,36.387,-16.540,10.112,204.445,23.26956542794135
12044,-2.283,0.719,-0.010,0.008,0.007,1.049,36.577,-16.561,10.158,204.359,23.263131900264845
12145,-2.283,0.719,-0.010,0.008,0.007,1.049,36.577,-16.561,10.158,204.359,23.263131900264845
12246,-2.305,0.696,0.009,0.009,0.007,1.049,36.638,-16.607,10.106,204.384,23.277154215811958
12347,-2.253,0.680,0.083,0.008,0.007,1.047,36.598,-16.674,9.974,204.495,23.269202930561327
12448,-2.274,0.657,0.085,0.008,0.008,1.045,36.505,-16.728,10.048,204.619,23.262841902360826
12549,-2.266,0.672,0.105,0.007,0.007,1.044,36.671,-16.771,9.868,204.576,23.276922217488742
12651,-2.388,0.867,0.065,0.008,0.009,1.043,36.804,-16.806,9.724,204.543,23.28818646959108
12752,-2.266,0.695,0.103,0.010,0.014,1.039,36.610,-16.833,9.788,204.693,23.258859595896304
12853,-2.216,0.669,0.091,0.007,0.011,1.037,36.275,-16.975,9.900,205.077,23.264151803472966
12954,-1.046,-0.868,0.014,0.007,0.010,1.036,36.157,-16.819,10.139,204.946,23.29713927606678
13055,-1.185,-0.267,-8.775,0.007,0.011,1.036,36.273,-16.724,10.300,204.752,23.304360116453505
13157,-0.905,0.041,-18.736,0.008,0.012,1.036,36.245,-16.708,10.309,204.748,23.33889049529537
13258,-0.781,1.202,-34.086,0.019,0.017,1.041,35.564,-17.055,10.077,205.620,23.289838247615574
13359,-0.885,2.168,-43.962,0.015,0.010,1.035,34.179,-17.152,10.310,206.649,23.28893472484838
13460,-1.209,3.337,-55.329,0.008,0.006,1.037,33.071,-17.230,10.497,207.520,23.31696561316711
13561,0.075,2.029,-62.751,-0.008,0.002,1.034,31.494,-17.443,10.497,208.979,23.31063661728961
13662,-0.105,2.090,-62.343,-0.007,0.011,1.033,29.334,-17.433,10.317,210.723,23.295988851743452
13764,-0.023,1.861,-63.525,-0.002,0.019,1.033,27.006,-16.945,10.173,212.107,23.303439776994843
13865,-0.023,1.861,-63.525,-0.002,0.019,1.033,27.006,-16.945,10.173,212.107,23.303439776994843
13966,0.639,0.778,-59.735,0.008,0.019,1.036,24.663,-16.375,9.877,213.582,23.309400517195957
