imu9250 monitor started
time, gx, gy, gz, mx, my, mz, ax, ay, az, comp
1,  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 90.000 
12,  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 90.000 
23,  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 90.000 
34,  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 90.000 
45,  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 90.000 
56,  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 90.000 
67,  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 90.000 
79,  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 90.000 
89,  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 90.000 
100,  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 90.000 
112, -0.478, 0.189, 0.255, 7.940,-3.252, 3.252, 0.003, 0.003, 0.207, 202.274 
123, -0.478, 0.189, 0.255, 7.940,-3.252, 3.252, 0.003, 0.003, 0.207, 202.274 
134, -0.478, 0.189, 0.255, 7.940,-3.252, 3.252, 0.003, 0.003, 0.207, 202.274 
145, -0.478, 0.189, 0.255, 7.940,-3.252, 3.252, 0.003, 0.003, 0.207, 202.274 
156, -0.478, 0.189, 0.255, 7.940,-3.252, 3.252, 0.003, 0.003, 0.207, 202.274 
167, -0.478, 0.189, 0.255, 7.940,-3.252, 3.252, 0.003, 0.003, 0.207, 202.274 
180, -0.478, 0.189, 0.255, 7.940,-3.252, 3.252, 0.003, 0.003, 0.207, 202.274 
191, -0.478, 0.189, 0.255, 7.940,-3.252, 3.252, 0.003, 0.003, 0.207, 202.274 
202, -0.478, 0.189, 0.255, 7.940,-3.252, 3.252, 0.003, 0.003, 0.207, 202.274 
212, -0.478, 0.189, 0.255, 7.940,-3.252, 3.252, 0.003, 0.003, 0.207, 202.274 
224, -0.892, 0.327, 0.442, 14.409,-5.561, 5.912, 0.005, 0.005, 0.373, 201.103 
235, -0.892, 0.327, 0.442, 14.409,-5.561, 5.912, 0.005, 0.005, 0.373, 201.103 
246, -0.892, 0.327, 0.442, 14.409,-5.561, 5.912, 0.005, 0.005, 0.373, 201.103 
257, -0.892, 0.327, 0.442, 14.409,-5.561, 5.912, 0.005, 0.005, 0.373, 201.103 
