imu9250 monitor started
time, gx, gy, gz, mx, my, mz, ax, ay, az, comp
0,  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 90.000 
11,  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 90.000 
22,  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 90.000 
33,  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 90.000 
44,  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 90.000 
55,  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 90.000 
66,  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 90.000 
78,  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 90.000 
89,  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 90.000 
100,  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 90.000 
117, -0.464, 0.229, 0.334, 9.785, 1.348, 3.457, 0.002,-0.003, 0.206, 172.158 
128, -0.464, 0.229, 0.334, 9.785, 1.348, 3.457, 0.002,-0.003, 0.206, 172.158 
139, -0.464, 0.229, 0.334, 9.785, 1.348, 3.457, 0.002,-0.003, 0.206, 172.158 
150, -0.464, 0.229, 0.334, 9.785, 1.348, 3.457, 0.002,-0.003, 0.206, 172.158 
161, -0.464, 0.229, 0.334, 9.785, 1.348, 3.457, 0.002,-0.003, 0.206, 172.158 
172, -0.464, 0.229, 0.334, 9.785, 1.348, 3.457, 0.002,-0.003, 0.206, 172.158 
183, -0.464, 0.229, 0.334, 9.785, 1.348, 3.457, 0.002,-0.003, 0.206, 172.158 
194, -0.464, 0.229, 0.334, 9.785, 1.348, 3.457, 0.002,-0.003, 0.206, 172.158 
205, -0.464, 0.229, 0.334, 9.785, 1.348, 3.457, 0.002,-0.003, 0.206, 172.158 
216, -0.464, 0.229, 0.334, 9.785, 1.348, 3.457, 0.002,-0.003, 0.206, 172.158 
229, -0.904, 0.365, 0.563, 17.555, 2.660, 6.164, 0.005,-0.004, 0.374, 171.383 
240, -0.904, 0.365, 0.563, 17.555, 2.660, 6.164, 0.005,-0.004, 0.374, 171.383 
251, -0.904, 0.365, 0.563, 17.555, 2.660, 6.164, 0.005,-0.004, 0.374, 171.383 
262, -0.904, 0.365, 0.563, 17.555, 2.660, 6.164, 0.005,-0.004, 0.374, 171.383 
273, -0.904, 0.365, 0.563, 17.555, 2.660, 6.164, 0.005,-0.004, 0.374, 171.383 
285, -0.904, 0.365, 0.563, 17.555, 2.660, 6.164, 0.005,-0.004, 0.374, 171.383 
297, -0.904, 0.365, 0.563, 17.555, 2.660, 6.164, 0.005,-0.004, 0.374, 171.383 
308, -0.904, 0.365, 0.563, 17.555, 2.660, 6.164, 0.005,-0.004, 0.374, 171.383 
319, -0.904, 0.365, 0.563, 17.555, 2.660, 6.164, 0.005,-0.004, 0.374, 171.383 
331, -0.904, 0.365, 0.563, 17.555, 2.660, 6.164, 0.005,-0.004, 0.374, 171.383 
342, -1.254, 0.461, 0.793, 23.683, 3.564, 8.476, 0.006,-0.006, 0.505, 171.442 
353, -1.254, 0.461, 0.793, 23.683, 3.564, 8.476, 0.006,-0.006, 0.505, 171.442 
364, -1.254, 0.461, 0.793, 23.683, 3.564, 8.476, 0.006,-0.006, 0.505, 171.442 
375, -1.254, 0.461, 0.793, 23.683, 3.564, 8.476, 0.006,-0.006, 0.505, 171.442 
386, -1.254, 0.461, 0.793, 23.683, 3.564, 8.476, 0.006,-0.006, 0.505, 171.442 
397, -1.254, 0.461, 0.793, 23.683, 3.564, 8.476, 0.006,-0.006, 0.505, 171.442 
409, -1.254, 0.461, 0.793, 23.683, 3.564, 8.476, 0.006,-0.006, 0.505, 171.442 
420, -1.254, 0.461, 0.793, 23.683, 3.564, 8.476, 0.006,-0.006, 0.505, 171.442 
431, -1.254, 0.461, 0.793, 23.683, 3.564, 8.476, 0.006,-0.006, 0.505, 171.442 
442, -1.254, 0.461, 0.793, 23.683, 3.564, 8.476, 0.006,-0.006, 0.505, 171.442 
453, -1.513, 0.563, 1.000, 28.703, 4.404, 10.561, 0.008,-0.007, 0.613, 171.277 
464, -1.513, 0.563, 1.000, 28.703, 4.404, 10.561, 0.008,-0.007, 0.613, 171.277 
475, -1.513, 0.563, 1.000, 28.703, 4.404, 10.561, 0.008,-0.007, 0.613, 171.277 
486, -1.513, 0.563, 1.000, 28.703, 4.404, 10.561, 0.008,-0.007, 0.613, 171.277 
497, -1.513, 0.563, 1.000, 28.703, 4.404, 10.561, 0.008,-0.007, 0.613, 171.277 
508, -1.513, 0.563, 1.000, 28.703, 4.404, 10.561, 0.008,-0.007, 0.613, 171.277 
519, -1.513, 0.563, 1.000, 28.703, 4.404, 10.561, 0.008,-0.007, 0.613, 171.277 
531, -1.513, 0.563, 1.000, 28.703, 4.404, 10.561, 0.008,-0.007, 0.613, 171.277 
