imu9250 monitor started
gx, gy, gz, ax, ay, az, mx, my, mz, comp, temp
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.000,0
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.000,0
-0.453,0.171,0.023,0.000,-0.002,0.207,9.086,1.889,1.469,168.254,4.628310420223441
-0.785,0.308,0.017,0.001,-0.004,0.372,16.475,3.221,2.585,168.939,8.292620481025548
-1.075,0.345,0.026,0.001,-0.006,0.503,22.386,4.286,3.537,169.162,11.2815759427322
-1.252,0.403,0.056,0.001,-0.007,0.609,27.205,5.168,4.569,169.244,13.6535711744092
-1.473,0.446,0.048,0.002,-0.008,0.695,30.971,5.964,5.605,169.101,15.608674772815766
-1.571,0.500,0.091,0.002,-0.009,0.762,33.923,6.540,6.193,169.087,17.153588513852696
-1.708,0.487,0.090,0.002,-0.009,0.819,36.344,6.881,6.964,169.279,18.37035036899392
-1.815,0.515,0.157,0.002,-0.010,0.861,38.282,7.155,7.580,169.414,19.353344421951057
-1.875,0.546,0.205,0.003,-0.011,0.895,40.012,7.433,7.713,169.476,20.13015509547261
-1.953,0.530,0.129,0.003,-0.010,0.923,41.096,7.596,7.940,169.528,20.799526478510654
-2.005,0.624,0.105,0.003,-0.011,0.947,42.233,7.816,8.151,169.515,21.306269878408607
-2.054,0.672,0.091,0.004,-0.011,0.965,43.082,7.932,8.320,169.568,21.71166459832697
-2.107,0.720,0.070,0.003,-0.011,0.979,43.822,7.905,8.455,169.775,22.03598037426166
-2.133,0.709,0.091,0.002,-0.011,0.992,44.264,8.093,8.474,169.638,22.247510150788607
-2.188,0.729,0.047,0.003,-0.011,0.999,44.497,8.184,8.248,169.579,22.464656816230967
-2.188,0.729,0.047,0.003,-0.011,0.999,44.497,8.184,8.248,169.579,22.464656816230967
-2.187,0.685,0.074,0.003,-0.011,1.006,44.684,8.256,8.068,169.531,22.628789579740697
-2.183,0.702,0.090,0.003,-0.012,1.011,45.044,8.284,7.954,169.579,22.76968035939264
-2.166,0.716,0.051,0.002,-0.012,1.015,45.211,8.187,8.042,169.736,22.872808414270036
-2.166,0.704,0.071,0.003,-0.012,1.019,45.225,8.529,7.933,169.320,22.94572628932779
-2.218,0.695,0.077,0.003,-0.012,1.023,45.296,8.742,8.026,169.076,23.042398864750638
-2.202,0.699,0.064,0.002,-0.012,1.024,45.563,8.703,8.130,169.186,23.06222951202395
-2.155,0.665,0.080,0.002,-0.013,1.026,45.657,8.552,8.333,169.391,23.116432305219245
-2.164,0.709,0.043,0.003,-0.013,1.027,45.642,8.221,8.406,169.790,23.178963677463802
-2.135,0.719,0.016,0.003,-0.012,1.029,45.630,7.956,8.464,170.109,23.209819637571126
-2.139,0.693,-0.022,0.003,-0.012,1.030,45.620,7.864,8.391,170.219,23.224919836812823
-2.185,0.675,-0.051,0.003,-0.012,1.030,45.702,8.121,8.422,169.924,23.2082462896737
-2.227,0.645,-0.041,0.004,-0.012,1.029,45.798,8.056,8.537,170.024,23.223661158494885
-2.235,0.620,0.016,0.004,-0.011,1.030,45.935,8.064,8.509,170.043,23.2935004666168
-2.217,0.606,-0.004,0.003,-0.012,1.031,46.014,8.041,8.516,170.088,23.320618206581845
-2.193,0.590,-0.008,0.004,-0.012,1.033,46.047,8.292,8.612,169.792,23.3135586920214
-2.180,0.654,0.030,0.003,-0.012,1.032,46.074,8.493,8.689,169.556,23.29832651152888
-2.180,0.654,0.030,0.003,-0.012,1.032,46.074,8.493,8.689,169.556,23.29832651152888
-2.199,0.659,0.061,0.003,-0.012,1.031,46.096,8.653,8.751,169.368,23.33406361135567
-2.186,0.673,0.029,0.003,-0.012,1.030,46.083,8.692,8.590,169.319,23.3147304469963
-2.196,0.679,0.121,0.003,-0.011,1.030,45.982,8.813,8.551,169.150,23.318433053197122
-2.241,0.713,0.066,0.004,-0.011,1.032,46.052,8.640,8.310,169.375,23.30222600046946
-2.198,0.724,0.090,0.004,-0.010,1.033,46.018,8.531,8.268,169.497,23.260506651754845
-2.201,0.737,0.072,0.004,-0.011,1.033,45.961,8.594,8.203,169.409,23.2654694481598
-2.211,0.740,0.010,0.004,-0.011,1.034,45.975,8.645,8.392,169.351,23.259855116439603
-2.207,0.786,0.039,0.004,-0.012,1.034,45.986,8.685,8.543,169.305,23.274532788751763
-2.217,0.772,0.043,0.004,-0.011,1.034,46.025,8.867,8.574,169.095,23.276690357757335
-2.209,0.751,0.062,0.003,-0.011,1.034,45.966,8.803,8.688,169.159,23.307170119494273
-2.258,0.765,0.042,0.004,-0.011,1.034,46.099,8.752,8.480,169.251,23.331553928883825
-2.243,0.725,0.082,0.003,-0.011,1.034,45.996,8.861,8.643,169.096,23.351060976395466
